Date,above_20,above_60,above_120,above_200
2023-01-02,,,,
2023-01-03,,,,
2023-01-04,,,,
2023-01-05,,,,
2023-01-06,,,,
2023-01-09,,,,
2023-01-10,,,,
2023-01-11,,,,
2023-01-12,,,,
2023-01-13,,,,
2023-01-16,,,,
2023-01-17,,,,
2023-01-18,,,,
2023-01-19,,,,
2023-01-20,,,,
2023-01-25,,,,
2023-01-26,,,,
2023-01-27,,,,
2023-01-30,,,,
2023-01-31,80.10928961748634,,,
2023-02-01,77.92349726775957,,,
2023-02-02,78.79781420765028,,,
2023-02-03,77.37704918032787,,,
2023-02-06,73.33333333333333,,,
2023-02-07,67.8688524590164,,,
2023-02-08,72.56830601092896,,,
2023-02-09,68.1967213114754,,,
2023-02-10,59.89071038251366,,,
2023-02-13,52.89617486338798,,,
2023-02-14,55.95628415300546,,,
2023-02-15,35.84699453551913,,,
2023-02-16,44.69945355191257,,,
2023-02-17,45.3551912568306,,,
2023-02-20,46.557377049180324,,,
2023-02-21,52.6775956284153,,,
2023-02-22,38.907103825136616,,,
2023-02-23,43.9344262295082,,,
2023-02-24,35.30054644808743,,,
2023-02-27,28.852459016393446,,,
2023-02-28,33.442622950819676,,,
2023-03-02,38.79781420765027,,,
2023-03-03,40.32786885245901,,,
2023-03-06,44.04371584699454,,,
2023-03-07,47.10382513661202,,,
2023-03-08,40.21857923497268,,,
2023-03-09,39.89071038251366,,,
2023-03-10,27.86885245901639,,,
2023-03-13,23.387978142076502,,,
2023-03-14,12.568306010928962,,,
2023-03-15,17.923497267759565,,,
2023-03-16,15.628415300546447,,,
2023-03-17,19.12568306010929,,,
2023-03-20,19.89071038251366,,,
2023-03-21,21.311475409836063,,,
2023-03-22,21.311475409836063,,,
2023-03-23,19.78142076502732,,,
2023-03-24,20.655737704918035,,,
2023-03-27,21.639344262295083,,,
2023-03-28,30.491803278688522,,,
2023-03-29,38.142076502732245,35.51912568306011,,
2023-03-30,50.38251366120219,37.37704918032787,,
2023-03-31,52.568306010928964,38.0327868852459,,
2023-04-03,58.36065573770492,40.10928961748634,,
2023-04-04,70.16393442622952,42.841530054644814,,
2023-04-05,72.45901639344262,41.74863387978142,,
2023-04-06,62.295081967213115,39.23497267759563,,
2023-04-07,64.26229508196721,39.56284153005464,,
2023-04-10,50.81967213114754,37.15846994535519,,
2023-04-11,61.31147540983607,41.202185792349724,,
2023-04-12,69.2896174863388,45.79234972677595,,
2023-04-13,73.55191256830601,48.52459016393443,,
2023-04-14,79.01639344262294,53.22404371584699,,
2023-04-17,79.23497267759562,54.97267759562842,,
2023-04-18,76.6120218579235,52.131147540983605,,
2023-04-19,80.65573770491802,56.0655737704918,,
2023-04-20,70.7103825136612,52.349726775956285,,
2023-04-21,57.096069868995635,47.322404371584696,,
2023-04-24,42.685589519650655,41.4207650273224,,
2023-04-25,35.917030567685586,37.37704918032787,,
2023-04-26,31.4410480349345,36.28415300546448,,
2023-04-27,31.590413943355124,37.049180327868854,,
2023-04-28,31.699346405228756,37.267759562841526,,
2023-05-02,38.88888888888889,41.63934426229508,,
2023-05-03,37.58169934640523,41.74863387978142,,
2023-05-04,39.54248366013072,43.49726775956284,,
2023-05-08,49.23747276688453,48.306010928961754,,
2023-05-09,48.15217391304348,48.52459016393443,,
2023-05-10,44.565217391304344,49.071038251366126,,
2023-05-11,49.673913043478265,50.92896174863388,,
2023-05-12,38.58695652173913,46.666666666666664,,
2023-05-15,37.28260869565217,45.24590163934426,,
2023-05-16,35.869565217391305,43.606557377049185,,
2023-05-17,41.630434782608695,46.557377049180324,,
2023-05-18,48.04347826086956,49.18032786885246,,
2023-05-19,55.760869565217384,52.131147540983605,,
2023-05-22,63.80434782608696,55.95628415300546,,
2023-05-23,64.23913043478261,56.72131147540984,,
